Package,VersionGA,VersionPreview,DisplayName,ServiceName,RepoPath,MSDocs,GHDocs,Type,New,PlannedVersions,FirstGADate,Support,Hide,Notes
@azure/ai-anomaly-detector,,3.0.0-beta.2,Anomaly Detector,Anomaly Detector,anomalydetector,,,client,TRUE,,,,,Will replace: @azure/cognitiveservices-anomalydetector
@azure/app-configuration,1.1.1,,App Configuration,App Configuration,appconfiguration,,,client,TRUE,,1/7/2020,active,,
@azure/attestation,,1.0.0-beta.2,Azure Security Attestation,Attestation,attestation,,,client,TRUE,,,,,
@azure/search-documents,11.1.0,,Cognitive Search,Search,search,,,client,TRUE,,7/6/2020,active,,Replaces: @azure/search
@azure/communication-chat,,1.0.0-beta.5,Communication Chat,Communication,communication,,,client,TRUE,,,,,
@azure/communication-common,1.0.0,,Communication Common,Communication,communication,,,client,TRUE,,3/22/2021,active,,
@azure/communication-identity,,1.0.0-beta.5,Communication Identity,Communication,communication,,,client,TRUE,,,,,
@azure/communication-phone-numbers,,1.0.0-beta.4,Communication Phone Numbers,Communication,communication,NA,,client,TRUE,,,,,
@azure/communication-sms,,1.0.0-beta.4,Communication Sms,Communication,communication,,,client,TRUE,,,,,
@azure/abort-controller,1.0.4,,Core - Abort Controller,Core,core,,,client,TRUE,,10/29/2019,active,,
@azure/core-amqp,2.1.0,,Core - AMQP,Core,core,,,client,TRUE,,1/8/2020,active,,
@azure/core-auth,1.2.0,,Core - Auth,Core,core,,,client,TRUE,,10/29/2019,active,,
@azure/core-client,1.0.0,,Core - Client,Core,core,,,client,TRUE,,3/15/2021,active,,
@azure/core-http,1.2.3,,Core - HTTP,Core,core,,,client,TRUE,,10/29/2019,active,,
@azure/logger,1.0.2,,Core - Logger,Core,core,,,client,TRUE,,10/29/2019,active,,
@azure/core-lro,1.0.3,,Core - LRO,Core,core,,,client,TRUE,,10/29/2019,active,,
@azure/core-tracing,,1.0.0-preview.10,Core - Tracing,Core,core,,,client,TRUE,,,,,
@azure/core-xml,,1.0.0-beta.1,Core - XML,Core,core,,,client,TRUE,,,,,
@azure/core-rest-pipeline,1.0.2,,Core Rest Pipeline,Core,core,NA,,client,TRUE,,3/15/2021,active,,
@azure/cosmos,3.10.5,,Cosmos DB,Cosmos DB,cosmosdb,,,client,TRUE,,9/24/2019,active,,
@azure/digital-twins-core,1.0.3,,Digital Twins - Core,IoT,digitaltwins,,,client,TRUE,,11/3/2020,active,,
@azure/eventgrid,4.1.0,,Event Grid,Event Grid,https://github.com/Azure/azure-sdk-for-js/tree/master/sdk/eventgrid/eventgrid,,,client,TRUE,,12/4/2019,active,,Will be replaced by: @azure/eventgrid 3.x
@azure/event-hubs,5.4.0,5.5.0-beta.1,Event Hubs,Event Hubs,eventhub,,,client,TRUE,,3/27/2019,active,,
@azure/eventhubs-checkpointstore-blob,1.0.1,,Event Hubs - Azure Blob Storage Checkpoint Store,Event Hubs,eventhub,,,client,TRUE,,1/9/2020,active,,
@azure/schema-registry,,1.0.0-beta.1,Event Hubs - Schema Registry,Event Hubs,schemaregistry,,,client,TRUE,"1.0.0,04/13/2021",,,,
